Book Name,Author,Description,Listening Time,Ranks and Genre,Final_Rating,Final_Price,Final_Reviews,Clean_Genres,Cluster,Hybrid_Score
the big store: inside the crisis and revolution at sears,donald katz,,unknown,unknown,4.6,0.0,17.0,['Unknown'],1,3.9161487031584654
the buddha and the badass: the secret spiritual art of succeeding at work,vishen lakhiani,,unknown,unknown,4.8,1005.0,341.0,['Unknown'],1,5.213924294825041
the power of now: a guide to spiritual enlightenment,eckhart tolle,,unknown,unknown,4.5,670.0,11918.0,['Unknown'],1,6.454355617793083
the lean startup: how today's entrepreneurs use continuous innovation to create radically successful businesses,eric ries,"Most startups fail. But many of those failures are preventable. The Lean Startup is a new approach being adopted across the globe, changing the way companies are built and new products are launched.",8 hours and 38 minutes,",#116 in Audible Audiobooks & Originals (See Top 100 in Audible Audiobooks & Originals),#1 in Small Businesses,#2 in New Business Enterprises,#7 in Business Management",4.4,1005.0,3350.0,[],1,5.886805635094925
"trading in the zone: master the market with confidence, discipline, and a winning attitude",mark douglas,"

Oops!
It's rush hour and traffic is piling up on that page. Please try again in a short while.If you were trying to place an order, it will not have been processed at this time.

Go to the Amazon.in home page to continue shopping

",-1,-1,4.7,879.0,1041.0,[],2,5.5995588889253245
why we sleep: the new science of sleep and dreams,matthew walker,,unknown,unknown,4.6,888.0,5105.0,['Unknown'],1,6.1752686391205724
ati prabhavkari logon ki 7 aadatein [7 habits of highly effective people],stephen r. covey,,unknown,unknown,4.4,1003.0,558.0,['Unknown'],1,5.17045978926204
the discomfort of evening,marieke lucas rijneveld,,unknown,unknown,3.9,569.0,133.0,['Unknown'],1,4.2991359199803645
learn english: word power 101: absolute beginner english #1,innovative language learning,Master English with Learn English - Word Power 101. This audiobook is a completely new way to learn English vocabulary fast - and for free! Start speaking English in minutes with the powerful learning methods you will master in this book. ,37 minutes,",#8 Free in Audible Audiobooks & Originals (See Top 100 in Audible Audiobooks & Originals),#1 in English Language Learning",3.6,0.0,230.0,[],1,4.336967084208718
range: how generalists triumph in a specialized world,david epstein,"Range is the groundbreaking and exhilarating exploration into how to be successful in the 21st century, from David Epstein, the acclaimed author of The Sports Gene.",10 hours and 17 minutes,",#105 in Audible Audiobooks & Originals (See Top 100 in Audible Audiobooks & Originals),#1 in Creativity & Genius,#7 in Entrepreneurship (Audible Audiobooks & Originals),#18 in Personal Success in Business",4.6,323.0,1252.0,[],1,5.613318381958427
man's search for meaning,viktor e. frankl,"Internationally renowned psychiatrist, Viktor E. Frankl, endured years of unspeakable horror in Nazi death camps. During, and partly because of, his suffering, Dr. Frankl developed a revolutionary approach to psychotherapy known as logotherapy. At the core of his theory is the belief that man's primary motivational force is his search for meaning. ",4 hours and 44 minutes,",#96 in Audible Audiobooks & Originals (See Top 100 in Audible Audiobooks & Originals),#6 in Philosophy (Audible Audiobooks & Originals),#7 in Holocaust,#1,058 in Textbooks & Study Guides",4.4,468.0,12868.0,['058 In Textbooks & Study Guides'],1,6.425030638997466
everything is f*cked: a book about hope,mark manson,From the author of the international mega-best-seller The Subtle Art of Not Giving A F*ck comes a counterintuitive guide to the problems of hope. ,7 hours and 2 minutes,",#85 in Audible Audiobooks & Originals (See Top 100 in Audible Audiobooks & Originals),#1 in Satire Fiction,#19 in Humour (Books),#24 in Personal Success",4.3,10378.0,2351.0,[],1,5.6852085236074075
"harry potter and the prisoner of azkaban, book 3",j.k. rowling,,unknown,unknown,4.6,999.0,5902.0,['Unknown'],1,6.233286390096275
the anarchy: the relentless rise of the east india company,william dalrymple,"Bloomsbury presents The Anarchy by William Dalrymple, read by Sid Sagar.",15 hours and 43 minutes,",#84 in Audible Audiobooks & Originals (See Top 100 in Audible Audiobooks & Originals),#1 in Military History (Audible Audiobooks & Originals),#2 in Indian History (Audible Audiobooks & Originals),#2 in Colonialism & Post-Colonialism",4.6,1138.0,1367.0,[],1,5.648442039272998
the alchemist (hindi edition),paulo coelho,"अंदलुशिया में रहनेवाले एक आम चरवाहे सैंतियागो की ये कहानी स्पेन से होते हुए मिस्र के रेगिस्तान जा पहुँचती है। जादुई रस-विधा, यानी ऐल्केमी, की तलाश में निकला ये युवा लड़का रास्ते में कई ज्ञानी दार्शनिकों और आध्यात्मिक गुरुओं से मिलता है। ज़िन्दगी बदल देनेवाले इस सफ़र की मंज़िल पर चरवाहे लड़के की मुलाक़ात जिस ऐल्केमिस्ट से होती है, वो न सिर्फ़ लड़के की, बल्कि हम सब की ज़िन्दगी बदल देने की काबिलियत रखता है। ",6 hours and 36 minutes,",#135 in Audible Audiobooks & Originals (See Top 100 in Audible Audiobooks & Originals),#5 in Literary Fiction,#19 in Religious & Spiritual Fiction,#42 in Personal Development",4.4,668.0,796.0,[],1,5.312341871516086
the girl on the train,paula hawkins,"Rachel catches the same commuter train every morning. She knows it will wait at the same signal each time, overlooking a row of back gardens. She's even started to feel like she knows the people who live in one of the houses. Jess and Jason, she calls them. Their life - as she sees it - is perfect. If only Rachel could be that happy. ",10 hours and 57 minutes,",#98 in Audible Audiobooks & Originals (See Top 100 in Audible Audiobooks & Originals),#2 in Psychological Thrillers,#2 in Crime Thrillers,#87 in Crime, Thriller & Mystery (Books)",4.0,888.0,70077.0,['Thriller & Mystery (Books)'],1,6.8629456745561
wings of fire,apj abdul kalam,“We are all born with a divine fire in us. Our efforts should be to give wings to this fire”. President Kalam’s inspiring autobiography has touched the hearts of people all over the world. The book talks about the his humble beginnings in a small village in Tamil Nadu and his ascent to one of the most powerful positions in the country. ,1 hour and 15 minutes,",#80 in Audible Audiobooks & Originals (See Top 100 in Audible Audiobooks & Originals),#1 in Biographies of Presidents & Heads of State,#90 in Biographies & Autobiographies (Books)",4.6,75.0,70.0,[],1,4.465071950816526
"tools of titans: the tactics, routines, and habits of billionaires, icons, and world-class performers",tim ferriss,"The latest groundbreaking tome from Tim Ferriss, the number-one New York Times best-selling author of The 4-Hour Workweek. ",22 hours and 41 minutes,",#102 in Audible Audiobooks & Originals (See Top 100 in Audible Audiobooks & Originals),#1 in Developmental Psychology (Audible Audiobooks & Originals),#8 in Business Motivation & Self-Improvement,#26 in Personal Success",4.4,1506.0,3663.0,[],1,5.922524290317609
a brief history of time: from big bang to black holes,stephen hawking,Brought to you by Penguin.,6 hours and 57 minutes,",#87 in Audible Audiobooks & Originals (See Top 100 in Audible Audiobooks & Originals),#1 in Physics (Audible Audiobooks & Originals),#1 in Cosmology,#1 in Astronomy (Audible Audiobooks & Originals)",4.6,888.0,5361.0,[],1,6.194836927518362
sapiens,yuval noah harari,Fire gave us power. Farming made us hungry for more. Money gave us purpose. Science made us deadly. ,15 hours and 18 minutes,",#4 in Audible Audiobooks & Originals (See Top 100 in Audible Audiobooks & Originals),#1 in Anthropology (Audible Audiobooks & Originals),#1 in History of Civilization,#2 in Anthropology (Books)",4.6,1171.0,329.0,[],1,5.07963706178421
sapiens,yuval noah harari,New York Times Best Seller  ,21 hours and 42 minutes,",#72 in Audible Audiobooks & Originals (See Top 100 in Audible Audiobooks & Originals),#3 in Anthropology (Audible Audiobooks & Originals),#11 in Anthropology (Books)",4.6,1171.0,329.0,[],1,5.07963706178421
everything is figureoutable: how one simple belief can help us overcome any obstacle and create unstoppable success,marie forleo,Brought to you by Penguin.,7 hours and 54 minutes,",#82 in Audible Audiobooks & Originals (See Top 100 in Audible Audiobooks & Originals),#5 in Lifestyle & Personal Style Guides (Books),#12 in Personal Success in Business,#23 in Personal Success",4.8,888.0,1856.0,[],1,5.890687024541083
sochiye aur ameer baniye [think and be rich],napoleon hill,"This is a Hindi translation of famous best-selling classic Think and Grow Rich. Napoleon Hill in this book defines the process by which listeners can achieve not just economic success but success in all aspects of life. He asserts that it is our mind and thoughts that shape our actions and that leads to success or failure in any venture and the author reveals the secret to its reader through this book of how we can give real shape to our dreams and aspiration through right thought, right action and right inspiration. Get a copy of this audiobook and embark on an enriching experience that will inspire and motivate you to work hard and achieve your goals.",11 hours and 10 minutes,",#74 in Audible Audiobooks & Originals (See Top 100 in Audible Audiobooks & Originals),#21 in Personal Success,#229 in Personal Development & Self-Help",4.5,836.0,2.0,[],1,3.1394449154672435
"loaded: money, psychology, and how to get ahead without leaving your values behind",sarah newcomb,YOUR MOST VALUABLE ASSET...IS YOU. LOADED WILL TEACH YOU HOW TO MAKE THE MOST OF IT.  ,6 hours and 54 minutes,",#56 in Audible Audiobooks & Originals (See Top 100 in Audible Audiobooks & Originals),#1 in African American History,#1 in Racism & Discrimination Studies,#1 in Violence in Society",4.4,586.0,62.0,[],1,4.297253890556613
1984,george orwell,"George Orwell's nightmare vision of a dystopian world has become more apt in these modern, chaotic times. Casting a pall of oppressive dread from the very first sentence, this classic audiobook takes hold of your imagination and stays with you long after the last four words are uttered. ",12 hours and 19 minutes,",#130 in Audible Audiobooks & Originals (See Top 100 in Audible Audiobooks & Originals),#1 in Dystopian Science Fiction,#1 in Political Fiction,#4 in Literary Fiction",4.5,797.0,16938.0,[],1,6.594949573834553
good economics for hard times: better answers to our biggest problems,abhijit banerjee,Brought to you by Penguin. ,14 hours and 44 minutes,",#77 in Audible Audiobooks & Originals (See Top 100 in Audible Audiobooks & Originals),#1 in Globalisation Money & Finance,#1 in Economic Theory (Audible Audiobooks & Originals),#2 in Economic Conditions (Books)",4.5,1093.0,950.0,[],1,5.443005625018156
